,opt_counter,rew_mean,rew_sd,rew_median,rew_10th_p,rew_90th_p,steps_mean,steps_sd,steps_median,steps_10th_p,steps_90th_p
0,49.0,0.46917338992701935,0.9930782817513994,0.0,-0.001769893253900676,1.784122931241002,199.0,0.0,199.0,199.0,199.0
0,99.0,92.173752926462,76.10684136018176,53.290201289412636,40.17569379194576,226.00675003714073,199.0,0.0,199.0,199.0,199.0
0,149.0,55.788932316539004,39.22700493529109,41.443122229910834,39.06254233169325,64.05178246903917,199.0,0.0,199.0,199.0,199.0
0,199.0,62.215595090058606,53.78441847398295,45.4980006982064,39.29233940396549,74.39182793319306,199.0,0.0,199.0,199.0,199.0
0,249.0,75.89091082455457,84.04026990282017,41.93117150421648,37.64510343437934,136.8292328102868,199.0,0.0,199.0,199.0,199.0
0,299.0,183.1944441222332,47.99675611149692,194.39473469413633,111.93230103242198,203.69862443128554,199.0,0.0,199.0,199.0,199.0
0,349.0,85.78005410406783,65.68072463486891,49.19995278864805,37.71123731469639,183.3903688781514,199.0,0.0,199.0,199.0,199.0
0,399.0,48.46112874145785,16.97061698863364,41.63985349493594,39.95509638383143,55.15832329633722,199.0,0.0,199.0,199.0,199.0
0,449.0,48.345252953149256,13.840466494954219,40.58979033796147,40.392054777454646,60.028269568870286,199.0,0.0,199.0,199.0,199.0
0,499.0,47.471923690738244,17.579005044799057,40.50999515139645,37.499275313903375,57.237262902752846,199.0,0.0,199.0,199.0,199.0
0,549.0,101.21902281178093,87.90632019881248,49.03633526032189,40.01345524656183,256.7867393811884,199.0,0.0,199.0,199.0,199.0
0,599.0,94.1171027974703,83.22550964417356,45.103946997740124,40.41845122853632,242.67825274209113,199.0,0.0,199.0,199.0,199.0
0,649.0,106.57250472267053,98.403031546266,42.825312034099454,40.13213519567638,256.7867517014215,199.0,0.0,199.0,199.0,199.0
0,699.0,41.9943044805545,2.0168051674652183,40.510384661099636,40.50986314280577,45.11984271281944,199.0,0.0,199.0,199.0,199.0
0,749.0,48.19775430162419,11.928483057961623,44.01381430645095,40.29793123352147,58.0474592050725,180.3,56.099999999999994,199.0,180.29999999999998,199.0
0,799.0,52.344692837806555,27.695809238465152,40.80333226566605,40.50984602910591,65.5330005806203,199.0,0.0,199.0,199.0,199.0
0,849.0,92.636714531166,26.29960227663299,79.6008881457449,76.76519080836471,117.41637450766612,199.0,0.0,199.0,199.0,199.0
0,899.0,46.96070502768377,17.156036666413495,40.64448820083244,35.7318887670607,60.97949586882909,199.0,0.0,199.0,199.0,199.0
0,949.0,70.17771475870981,55.78352163117087,41.79623204777826,36.05841346976818,110.78672725009959,199.0,0.0,199.0,199.0,199.0
0,999.0,48.066985121122556,15.831503657464117,42.21958195896232,40.351326386754835,56.44186553474205,199.0,0.0,199.0,199.0,199.0
0,1049.0,93.80380105292963,81.34383947510958,43.595006761307495,40.50996608201609,226.00570674465817,199.0,0.0,199.0,199.0,199.0
0,1099.0,79.38549229832253,64.2999767067254,42.43301922532253,40.510873407839654,186.88136516922924,199.0,0.0,199.0,199.0,199.0
0,1149.0,47.02275157810281,39.86996192056974,43.092243800935286,31.99581464853012,83.91198760924412,199.0,0.0,199.0,199.0,199.0
0,1199.0,74.66063256042689,50.84681220524658,45.665625892630096,40.510293982831726,148.74972820426368,199.0,0.0,199.0,199.0,199.0
0,1249.0,118.59687399804166,84.87362555903324,77.43100946755789,41.28043626825157,244.9225779738074,199.0,0.0,199.0,199.0,199.0
0,1299.0,78.7803200247462,5.904954782443265,79.12966225353358,76.26975363984504,85.332411695839,199.0,0.0,199.0,199.0,199.0
0,1349.0,90.30536080251946,37.069991831111125,77.48454302428162,77.29609514639772,92.80404817348283,199.0,0.0,199.0,199.0,199.0
0,1399.0,80.32090967648186,78.8945783176218,40.53831497874855,40.50984444321487,225.3895888614176,199.0,0.0,199.0,199.0,199.0
0,1449.0,67.21997878914888,44.55709619272535,47.86087781179246,41.96429584403232,82.66431115352614,199.0,0.0,199.0,199.0,199.0
0,1499.0,132.86370989073413,47.08223301130457,106.69331643662277,98.06736709288884,205.67234554060153,199.0,0.0,199.0,199.0,199.0
0,1549.0,234.6192638623069,9.305367778041024,238.33325683486845,218.3592467649742,239.68141128608823,154.8,48.70071868052873,169.0,74.0,199.0
0,1599.0,87.8419717368557,71.07890119980996,44.44558283298542,40.50986126500769,222.96513397769675,180.3,56.099999999999994,199.0,180.29999999999998,199.0
0,1649.0,56.974664859044104,22.116445871138506,46.69055604618076,39.875437836201016,92.49537983549178,182.1,50.70000000000001,199.0,182.1,199.0
0,1699.0,217.5811871574402,32.60915969301692,206.60738291811717,201.87186886633526,233.66343546695222,113.5,85.5,113.5,28.0,199.0
0,1749.0,284.84517675751823,10.194918190313604,288.2830754575175,281.36485768550034,288.9151934527729,77.9,79.27855952273603,26.0,26.0,199.0
0,1799.0,55.84520190826017,35.51413415581781,40.865015984402405,40.509846901451844,67.58105925926984,199.0,0.0,199.0,199.0,199.0
0,1849.0,242.33132225169044,28.459983999178675,238.12210156400167,212.69243502678952,262.16012008760407,196.3,8.100000000000001,199.0,196.29999999999998,199.0
0,1899.0,215.83961830980655,4.469627428329213,217.16026151879635,215.6905691078068,217.3762086762848,182.8,32.51092124194576,199.0,122.80000000000001,199.0
0,1949.0,63.7296197613458,29.78144740918294,50.93302917987286,48.797407287328866,91.22078235381294,199.0,0.0,199.0,199.0,199.0
0,1999.0,110.27947138839413,98.262975712201,46.7172282685797,41.30819314003242,282.04895805539013,199.0,0.0,199.0,199.0,199.0
