,index,opt_counter,rew_mean,rew_sd,rew_median,rew_10th_p,rew_90th_p,steps_mean,steps_sd,steps_median,steps_10th_p,steps_90th_p
0,0,49.0,82.24238047480989,85.7040244333581,41.877104868854914,40.27585886598305,176.63656896691555,199.0,0.0,199.0,199.0,199.0
1,0,99.0,77.1885244455325,71.09398428249949,43.16563229839333,40.5098443648251,179.85740158954425,199.0,0.0,199.0,199.0,199.0
2,0,149.0,41.801942730750916,34.019158448215016,55.81066587414315,-19.81593962964912,63.65986705610825,199.0,0.0,199.0,199.0,199.0
3,0,199.0,81.49155011672937,62.900180130727236,42.95714733500888,40.50994827784157,159.62525624829357,199.0,0.0,199.0,199.0,199.0
4,0,249.0,75.19974666488127,66.46704836617245,44.62258772699961,40.27840277166461,169.44066143640063,199.0,0.0,199.0,199.0,199.0
5,0,299.0,68.03638587466813,49.644654084437505,43.31443763626872,40.3239018026385,162.27978091356417,199.0,0.0,199.0,199.0,199.0
6,0,349.0,92.72606912497433,72.05888216899925,49.40032040272203,39.1984596645328,170.59216213078562,199.0,0.0,199.0,199.0,199.0
7,0,399.0,43.63167142127831,17.991998367473162,38.12808075639762,32.81359702050159,57.272867524481555,199.0,0.0,199.0,199.0,199.0
8,0,449.0,49.518303808796254,17.306845396768278,40.70163639004436,39.2824595446873,60.68340318403574,199.0,0.0,199.0,199.0,199.0
9,0,499.0,103.30472972908873,74.21862276556736,50.967993128419195,40.5470368459265,211.17277793633366,199.0,0.0,199.0,199.0,199.0
10,0,549.0,53.49315995767294,35.97348312188614,40.51218974816834,40.193070513621045,58.38657079878871,199.0,0.0,199.0,199.0,199.0
11,0,599.0,64.83107863488479,45.898215149304434,47.97565673231318,40.46199313819555,88.41870163928577,182.1,50.70000000000001,199.0,182.1,199.0
12,0,649.0,86.39990400769919,70.02279165337836,46.30145689078732,40.43031674474864,156.00947963074032,199.0,0.0,199.0,199.0,199.0
